container,interactivity level,delay,duration,num commands,num keystrokes,attacker_ip,time of log
DESKTOP-4AJRJA,interactive,10,,0,0,85.192.56.68,2024-10-24 17:06:03.769077
DESKTOP-5AJRJA,interactive,30,,0,0,,2024-10-24 17:11:03.611229
DESKTOP-4AJRJA,interactive,1,,0,0,,2024-10-24 17:37:03.838664
DESKTOP-5AJRJA,interactive,2,,0,0,,2024-10-24 17:42:03.975332
DESKTOP-5AJRJA,interactive,10,,0,0,8.219.237.59,2024-10-24 17:48:03.974207
DESKTOP-4AJRJA,interactive,2,,0,0,,2024-10-24 18:08:03.616447
DESKTOP-4AJRJA,interactive,2,,1,3,10.173.198.224,2024-10-24 18:17:03.861116
DESKTOP-4AJRJA,interactive,2,,0,0,147.185.132.22,2024-10-24 18:37:03.543037
DESKTOP-5AJRJA,non-interactive,0,,0,0,146.190.117.104,2024-10-24 18:38:03.980249
DESKTOP-5AJRJA,interactive,5,,0,0,198.235.24.50,2024-10-24 18:43:03.578758
DESKTOP-5AJRJA,non-interactive,30,,0,0,146.190.117.104,2024-10-24 18:49:04.068552
DESKTOP-5AJRJA,interactive,0,,0,0,87.236.176.134,2024-10-24 18:52:03.537734
DESKTOP-5AJRJA,non-interactive,0,,0,0,146.190.117.104,2024-10-24 18:55:03.583572
DESKTOP-5AJRJA,non-interactive,10,,0,0,146.190.117.104,2024-10-24 19:00:04.118676
DESKTOP-5AJRJA,non-interactive,1,,0,0,146.190.117.104,2024-10-24 19:06:04.056016
DESKTOP-4AJRJA,interactive,0,,0,0,,2024-10-24 19:08:04.614733
DESKTOP-5AJRJA,interactive,2,,0,0,152.32.158.35,2024-10-24 19:09:04.355768
DESKTOP-5AJRJA,non-interactive,10,,0,0,146.190.117.104,2024-10-24 19:11:03.852085
DESKTOP-4AJRJA,interactive,5,,0,0,167.71.219.201,2024-10-24 19:15:04.230070
DESKTOP-5AJRJA,interactive,0,,0,0,146.190.117.104,2024-10-24 19:17:04.498642
DESKTOP-5AJRJA,interactive,5,,0,0,146.190.117.104,2024-10-24 19:22:04.105484
DESKTOP-5AJRJA,non-interactive,30,,0,0,146.190.117.104,2024-10-24 19:28:04.105852
DESKTOP-4AJRJA,interactive,30,,0,0,92.255.85.107,2024-10-24 19:32:03.834369
DESKTOP-4AJRJA,interactive,2,,0,0,103.156.90.66,2024-10-24 19:34:03.745305
DESKTOP-5AJRJA,non-interactive,1,,0,0,146.190.117.104,2024-10-24 19:34:06.612086
DESKTOP-5AJRJA,non-interactive,5,,0,0,146.190.117.104,2024-10-24 19:39:04.365363
DESKTOP-5AJRJA,non-interactive,2,,0,0,146.190.117.104,2024-10-24 19:45:04.072673
DESKTOP-5AJRJA,non-interactive,1,,0,0,146.190.117.104,2024-10-24 19:50:04.808323
DESKTOP-4AJRJA,non-interactive,5,,0,0,87.120.117.228,2024-10-24 19:51:03.696762
DESKTOP-5AJRJA,non-interactive,0,,0,0,146.190.117.104,2024-10-24 19:56:03.822962
DESKTOP-5AJRJA,non-interactive,1,,0,0,146.190.117.104,2024-10-24 20:01:03.552101
DESKTOP-4AJRJA,non-interactive,10,,0,0,112.120.181.164,2024-10-24 20:06:04.490084
DESKTOP-5AJRJA,non-interactive,0,,0,0,146.190.117.104,2024-10-24 20:07:03.627349
DESKTOP-5AJRJA,non-interactive,2,,0,0,146.190.117.104,2024-10-24 20:12:03.929192
DESKTOP-5AJRJA,non-interactive,1,,0,0,146.190.117.104,2024-10-24 20:18:03.592296
DESKTOP-5AJRJA,non-interactive,2,,0,0,146.190.117.104,2024-10-24 20:23:03.788827
DESKTOP-5AJRJA,interactive,1,,0,0,146.190.117.104,2024-10-24 20:29:03.554620
DESKTOP-4AJRJA,non-interactive,2,,0,0,206.189.26.130,2024-10-24 20:34:03.936512
DESKTOP-5AJRJA,interactive,5,,0,0,146.190.117.104,2024-10-24 20:35:04.056255
DESKTOP-4AJRJA,interactive,0,,0,0,170.64.132.122,2024-10-24 20:40:03.909910
DESKTOP-5AJRJA,non-interactive,2,,0,0,146.190.117.104,2024-10-24 20:40:06.670910
DESKTOP-4AJRJA,non-interactive,5,,0,0,170.64.132.122,2024-10-24 20:42:04.344454
DESKTOP-4AJRJA,non-interactive,1,,0,0,170.64.132.122,2024-10-24 20:44:04.062368
